0																																																																																																																																							
																																																																																																																																							
																																																																																																																																							
																																																																																																																																							
																																																																																																																																							
																																																																																																																																							
1	3	1	3	1	3	1	3	1	3	1	2	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	2	4	5	1																																																																																																
1	2	3	1	3	1	3	1	2	3	1	2	13	14	15	16	17	18	13	14	15	13	14	15	16	17	18	13	14	15	133	134	135	13	14	15	46	47	48	1	1	3																																																																																		1	2	3										
1											1	23	24	25	26	27	28	23	24	25	23	24	25	26	27	28	23	24	25	143	144	145	23	24	25	56	57	58	1			1	3																																																																																												
1											1	33	34	35	36	37	38	33	34	35	33	34	35	36	37	38	33	34	35	153	154	155	33	34	35	66	67	68	1					1	3																																																																																										
1											1	10	11	12	10	11	12	10	11	12	10	11	12	10	11	12	10	11	12	10	11	12	10	11	12	76	77	78	1							1	3																																																																																								
1											1	20	21	22	20	21	22	20	21	22	20	21	22	20	21	22	20	21	22	20	21	22	20	21	22	86	87	88	1									1	3																																																																																						
1											1	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	30	31	32	96	97	98	1											1	3																																																																											1	2	3							
1											1	3	1	2	3	1	2	3	1	2	3	1	2	3	3	1	2	4	5	1	2	3	1	2	3	1	1	1	1													1	3																																																																																		
1											1	40	41	42	40	41	42	40	41	42	40	41	42	43	44	45	46	47	48	40	41	42	43	44	45	40	41	42	1															1	3																																																																																
1											1	50	51	52	50	51	52	50	51	52	50	51	52	53	54	55	56	57	58	50	51	52	53	54	55	50	51	52	1																	1	3																																																																														
1											1	60	61	62	60	61	62	60	61	62	60	61	62	63	64	65	66	67	68	60	61	62	63	64	65	60	61	62	1																			1	3																																																																						1	2	3				
1											1	70	71	72	70	71	72	73	74	75	70	71	72	73	74	75	76	77	78	70	71	72	70	71	72	70	71	72	1																					1	3																																																																										
1											1	80	81	82	80	81	82	83	84	85	80	81	82	83	84	85	86	87	88	80	81	82	80	81	82	80	81	82	1																							1	3																																																																								
1											1	90	91	92	90	91	92	93	94	95	90	91	92	93	94	95	96	97	98	90	91	92	90	91	92	90	91	92	1																									1	3																																																																						
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1																																																																																																																																							
1																																																																																																																																							
1																																																																																																																																							
